150 PA5-A-Debug-Answer.txt 6
   10.1980  152.4134    1.6255  -22.2278   -5.9472  -40.8193
   -1.64     0.03    44.40        -1.64     0.03    44.40     0.000
    5.58     8.74    -8.98         5.58     8.74    -8.98     0.000
    6.86    -6.67    21.52         6.86    -6.67    21.52     0.000
   30.76    -5.36   -13.19        30.76    -5.36   -13.19     0.000
   -0.72   -14.98   -33.71        -0.72   -14.98   -33.71     0.000
   21.00    23.78     8.76        21.00    23.78     8.76     0.000
   17.93    14.20    65.72        17.93    14.20    65.72     0.000
  -31.87    -8.73   -11.54       -31.87    -8.73   -11.54     0.000
   10.08    -9.53   -21.55        10.08    -9.53   -21.55     0.000
  -32.25     5.52   -42.36       -32.25     5.52   -42.36     0.000
  -33.55   -17.35   -48.33       -33.55   -17.35   -48.33     0.000
  -26.45     1.05   -14.70       -26.45     1.05   -14.70     0.000
   18.65    18.05    53.38        18.65    18.05    53.38     0.000
   -1.75    21.55    21.23        -1.75    21.55    21.23     0.000
    3.63    -6.98    24.43         3.63    -6.98    24.43     0.000
  -44.15   -15.10   -31.34       -44.15   -15.10   -31.34     0.000
    9.10    20.78    -2.38         9.10    20.78    -2.38     0.000
   14.58     4.43   -19.88        14.58     4.43   -19.88     0.000
  -32.54    -9.43   -51.11       -32.54    -9.43   -51.11     0.000
   33.80    12.15    -0.16        33.80    12.15    -0.16     0.000
   26.00    20.23     7.03        26.00    20.23     7.03     0.000
   24.36    -9.58    -3.04        24.36    -9.58    -3.04     0.000
    2.60    -4.51    33.76         2.60    -4.51    33.76     0.000
  -29.16   -18.59   -10.67       -29.16   -18.59   -10.67     0.000
   13.65    22.99    40.64        13.65    22.99    40.64     0.000
   -9.94     6.93   -37.73        -9.94     6.93   -37.73     0.000
   22.44    15.64    27.05        22.44    15.64    27.05     0.000
    3.24    -9.68    11.59         3.24    -9.68    11.59     0.000
   10.82    -4.05    33.28        10.82    -4.05    33.28     0.000
  -15.75    -6.74   -52.49       -15.75    -6.74   -52.49     0.000
  -28.22   -26.17   -14.69       -28.22   -26.17   -14.69     0.000
    0.47   -17.94   -30.27         0.47   -17.94   -30.27     0.000
  -35.59    -8.98   -12.33       -35.59    -8.98   -12.33     0.000
  -14.13    14.06    35.67       -14.13    14.06    35.67     0.000
  -15.94   -32.34   -32.91       -15.94   -32.34   -32.91     0.000
   -4.43   -25.04   -33.51        -4.43   -25.04   -33.51     0.000
   31.93    -2.76   -19.74        31.93    -2.76   -19.74     0.000
  -29.87   -15.41   -10.44       -29.87   -15.41   -10.44     0.000
  -13.20   -28.54   -19.36       -13.20   -28.54   -19.36     0.000
   24.08     4.92    30.55        24.08     4.92    30.55     0.000
   -3.00    19.37    18.53        -3.00    19.37    18.53     0.000
  -34.65     2.21   -43.96       -34.65     2.21   -43.96     0.000
   -4.60    10.79    42.40        -4.60    10.79    42.40     0.000
   30.62     3.97   -25.22        30.62     3.97   -25.22     0.000
   -2.70    -3.01   -30.21        -2.70    -3.01   -30.21     0.000
   -2.91     3.59    53.17        -2.91     3.59    53.17     0.000
    4.48    -3.15    45.42         4.48    -3.15    45.42     0.000
   19.94    23.98    -1.85        19.94    23.98    -1.85     0.000
    1.07    -6.99   -27.66         1.07    -6.99   -27.66     0.000
    6.45    -3.16    66.44         6.45    -3.16    66.44     0.000
  -26.80   -18.44   -51.06       -26.80   -18.44   -51.06     0.000
   14.64    23.07    36.38        14.64    23.07    36.38     0.000
  -15.68   -23.53   -12.89       -15.68   -23.53   -12.89     0.000
  -25.12     6.79   -18.07       -25.12     6.79   -18.07     0.000
    0.88   -14.37    -4.44         0.88   -14.37    -4.44     0.000
  -34.26   -14.02   -11.64       -34.26   -14.02   -11.64     0.000
  -20.88    11.93   -23.97       -20.88    11.93   -23.97     0.000
   -3.52     8.89    60.85        -3.52     8.89    60.85     0.000
   20.19    20.19    28.51        20.19    20.19    28.51     0.000
    8.38     0.54    66.58         8.38     0.54    66.58     0.000
  -13.65   -28.04   -42.91       -13.65   -28.04   -42.91     0.000
   12.84    12.66   -26.07        12.84    12.66   -26.07     0.000
   30.68    15.44     2.09        30.68    15.44     2.09     0.000
   -0.05    15.88    59.84        -0.05    15.88    59.84     0.000
    9.82    -4.53   -22.01         9.82    -4.53   -22.01     0.000
   -1.23    14.25    59.36        -1.23    14.25    59.36     0.000
   18.75    17.86    53.31        18.75    17.86    53.31     0.000
   25.66    11.49    19.05        25.66    11.49    19.05     0.000
   36.78     3.68    -6.93        36.78     3.68    -6.93     0.000
   30.95    -3.81   -10.01        30.95    -3.81   -10.01     0.000
   14.69    23.04    35.17        14.69    23.04    35.17     0.000
    8.06   -10.79   -21.87         8.06   -10.79   -21.87     0.000
  -13.06   -26.18   -16.31       -13.06   -26.18   -16.31     0.000
   24.71    21.82     3.32        24.71    21.82     3.32     0.000
  -40.13    -0.08   -38.81       -40.13    -0.08   -38.81     0.000
   -8.62    -1.33   -45.18        -8.62    -1.33   -45.18     0.000
    4.76     8.27    -9.51         4.76     8.27    -9.51     0.000
   18.04    22.47    19.52        18.04    22.47    19.52     0.000
   16.24   -11.17     1.64        16.24   -11.17     1.64     0.000
   -8.14   -27.57   -35.73        -8.14   -27.57   -35.73     0.000
   27.40     4.33   -29.41        27.40     4.33   -29.41     0.000
   23.57    21.54   -12.46        23.57    21.54   -12.46     0.000
  -16.02    -8.34   -52.68       -16.02    -8.34   -52.68     0.000
   16.49    23.20   -14.32        16.49    23.20   -14.32     0.000
   15.88     7.47   -22.49        15.88     7.47   -22.49     0.000
  -27.84   -27.67   -43.34       -27.84   -27.67   -43.34     0.000
  -22.46     6.60   -44.80       -22.46     6.60   -44.80     0.000
    1.77    11.67    -0.54         1.77    11.67    -0.54     0.000
    4.34     7.10    66.80         4.34     7.10    66.80     0.000
   27.92     9.62    14.17        27.92     9.62    14.17     0.000
   -0.36    -3.35   -27.72        -0.36    -3.35   -27.72     0.000
   -7.44   -22.48   -42.58        -7.44   -22.48   -42.58     0.000
  -38.28    -3.67   -17.24       -38.28    -3.67   -17.24     0.000
   -5.48    -8.36   -43.96        -5.48    -8.36   -43.96     0.000
    4.81    17.62     5.97         4.81    17.62     5.97     0.000
   -5.19   -21.41   -13.18        -5.19   -21.41   -13.18     0.000
  -17.24     4.02   -13.61       -17.24     4.02   -13.61     0.000
