150 PA5-C-Debug-Answer.txt 6
  -84.8541   31.5924   43.6280   95.7188   -3.3376  -55.7676
   -7.49     2.03    31.95        -7.49     2.03    31.95     0.000
  -37.80   -20.69   -38.54       -37.80   -20.69   -38.54     0.000
  -40.79   -17.54   -30.64       -40.79   -17.54   -30.64     0.000
   10.65     5.14    59.11        10.65     5.14    59.11     0.000
    2.81    23.34    21.09         2.81    23.34    21.09     0.000
    2.94     0.73   -19.89         2.94     0.73   -19.89     0.000
   12.57     5.03   -14.26        12.57     5.03   -14.26     0.000
   -2.57     4.63   -18.87        -2.57     4.63   -18.87     0.000
  -22.29     3.37   -11.22       -22.29     3.37   -11.22     0.000
    4.80   -12.12     9.11         4.80   -12.12     9.11     0.000
  -10.67    20.93    18.22       -10.67    20.93    18.22     0.000
  -17.39     2.11     6.46       -17.39     2.11     6.46     0.000
  -19.36   -31.43   -26.06       -19.36   -31.43   -26.06     0.000
   35.34    14.12     4.57        35.34    14.12     4.57     0.000
   -8.50   -24.24   -14.25        -8.50   -24.24   -14.25     0.000
   13.17    15.26    58.13        13.17    15.26    58.13     0.000
   20.03   -12.92   -16.59        20.03   -12.92   -16.59     0.000
   16.24    24.66    -5.54        16.24    24.66    -5.54     0.000
  -38.91   -20.55   -34.78       -38.91   -20.55   -34.78     0.000
  -41.26   -16.98   -30.21       -41.26   -16.98   -30.21     0.000
   10.48   -11.83   -18.47        10.48   -11.83   -18.47     0.000
   33.77     7.25   -18.52        33.77     7.25   -18.52     0.000
  -27.59    -2.59   -10.22       -27.59    -2.59   -10.22     0.000
  -35.20     4.59   -18.34       -35.20     4.59   -18.34     0.000
   29.29    12.47    19.18        29.29    12.47    19.18     0.000
   19.84    -4.89   -18.48        19.84    -4.89   -18.48     0.000
   22.56    -5.37    33.64        22.56    -5.37    33.64     0.000
    7.48    24.94     5.02         7.48    24.94     5.02     0.000
   37.58    11.73    -0.22        37.58    11.73    -0.22     0.000
   -0.46    -7.17   -34.11        -0.46    -7.17   -34.11     0.000
   16.69   -16.49    -4.00        16.69   -16.49    -4.00     0.000
   30.96    -3.08    19.06        30.96    -3.08    19.06     0.000
   20.46    10.67   -28.10        20.46    10.67   -28.10     0.000
   20.41    18.48    39.36        20.41    18.48    39.36     0.000
   -5.85    -2.24   -40.27        -5.85    -2.24   -40.27     0.000
   14.35     6.08   -17.22        14.35     6.08   -17.22     0.000
   -0.52    -4.40   -28.01        -0.52    -4.40   -28.01     0.000
    9.51    21.73   -15.26         9.51    21.73   -15.26     0.000
  -20.58    12.23   -32.22       -20.58    12.23   -32.22     0.000
   18.86   -11.29   -16.20        18.86   -11.29   -16.20     0.000
  -36.08   -24.81   -21.34       -36.08   -24.81   -21.34     0.000
   -8.16    -6.05    15.41        -8.16    -6.05    15.41     0.000
   26.74    -9.98     2.20        26.74    -9.98     2.20     0.000
    4.62    21.06    -1.76         4.62    21.06    -1.76     0.000
   -5.85    16.26    11.07        -5.85    16.26    11.07     0.000
   18.14    -8.39   -18.04        18.14    -8.39   -18.04     0.000
   -6.53     5.07    54.97        -6.53     5.07    54.97     0.000
   18.05   -16.47    -8.68        18.05   -16.47    -8.68     0.000
    4.55    21.30    44.12         4.55    21.30    44.12     0.000
  -35.79   -25.84   -24.41       -35.79   -25.84   -24.41     0.000
  -33.32   -22.23   -43.00       -33.32   -22.23   -43.00     0.000
  -38.90   -15.38   -37.97       -38.90   -15.38   -37.97     0.000
    3.40   -14.66   -27.25         3.40   -14.66   -27.25     0.000
   17.82    -5.89    27.55        17.82    -5.89    27.55     0.000
  -28.04   -30.18   -34.71       -28.04   -30.18   -34.71     0.000
  -40.99   -16.64   -20.84       -40.99   -16.64   -20.84     0.000
   -1.54    -5.26    36.23        -1.54    -5.26    36.23     0.000
   37.98     8.25    -7.76        37.98     8.25    -7.76     0.000
   -8.61   -26.03   -20.37        -8.61   -26.03   -20.37     0.000
   20.46    -5.25    51.54        20.46    -5.25    51.54     0.000
  -19.84    13.76    28.11       -19.84    13.76    28.11     0.000
  -17.24     7.78   -13.21       -17.24     7.78   -13.21     0.000
  -20.21   -30.31   -37.18       -20.21   -30.31   -37.18     0.000
   -6.42    23.84    32.09        -6.42    23.84    32.09     0.000
   13.58    22.95    42.07        13.58    22.95    42.07     0.000
   34.78    14.21     1.34        34.78    14.21     1.34     0.000
   31.46    11.05   -19.27        31.46    11.05   -19.27     0.000
   16.10   -14.38   -12.60        16.10   -14.38   -12.60     0.000
   -9.35    -1.04    20.51        -9.35    -1.04    20.51     0.000
  -15.38    11.30   -22.80       -15.38    11.30   -22.80     0.000
  -15.56     5.90    -6.91       -15.56     5.90    -6.91     0.000
   -9.55   -11.01     2.61        -9.55   -11.01     2.61     0.000
   -2.86    -1.57    48.70        -2.86    -1.57    48.70     0.000
   -4.22   -19.66    -7.39        -4.22   -19.66    -7.39     0.000
  -21.80     3.77   -11.13       -21.80     3.77   -11.13     0.000
   18.93    23.93   -10.89        18.93    23.93   -10.89     0.000
    1.97     6.15    59.11         1.97     6.15    59.11     0.000
   18.24    -5.69    40.59        18.24    -5.69    40.59     0.000
   14.64    24.81    32.31        14.64    24.81    32.31     0.000
  -38.03   -17.13   -16.58       -38.03   -17.13   -16.58     0.000
  -40.56   -20.08   -25.31       -40.56   -20.08   -25.31     0.000
   31.67    -8.49     0.51        31.67    -8.49     0.51     0.000
   -1.60    -4.54    39.32        -1.60    -4.54    39.32     0.000
  -33.47     3.73   -42.62       -33.47     3.73   -42.62     0.000
   25.74    19.11   -18.62        25.74    19.11   -18.62     0.000
   10.36    23.97    -4.36        10.36    23.97    -4.36     0.000
    1.70    -9.23    23.47         1.70    -9.23    23.47     0.000
   18.74    -5.69    35.78        18.74    -5.69    35.78     0.000
    2.06    21.51    40.46         2.06    21.51    40.46     0.000
   27.24   -13.50   -17.77        27.24   -13.50   -17.77     0.000
   -6.68    -5.49    22.43        -6.68    -5.49    22.43     0.000
   -6.66     9.64    53.13        -6.66     9.64    53.13     0.000
  -26.32     6.71   -43.45       -26.32     6.71   -43.45     0.000
    5.48    -5.63    40.87         5.48    -5.63    40.87     0.000
    2.38   -17.70    -6.31         2.38   -17.70    -6.31     0.000
  -14.41    -1.04    12.12       -14.41    -1.04    12.12     0.000
  -26.28     8.20   -41.72       -26.28     8.20   -41.72     0.000
    9.32    18.58    57.78         9.32    18.58    57.78     0.000
    0.80   -15.02   -34.12         0.80   -15.02   -34.12     0.000
   13.96    24.88    27.66        13.96    24.88    27.66     0.000
  -10.92     8.56    -0.47       -10.92     8.56    -0.47     0.000
   30.12    17.81    -9.65        30.12    17.81    -9.65     0.000
  -37.75   -12.30   -44.37       -37.75   -12.30   -44.37     0.000
  -26.32     8.71   -40.76       -26.32     8.71   -40.76     0.000
   -2.86    21.34    38.04        -2.86    21.34    38.04     0.000
   33.16     3.02    21.38        33.16     3.02    21.38     0.000
   23.42    -9.38     7.70        23.42    -9.38     7.70     0.000
   27.90     8.09   -25.37        27.90     8.09   -25.37     0.000
  -15.02     6.24     2.01       -15.02     6.24     2.01     0.000
   23.55     5.56   -26.11        23.55     5.56   -26.11     0.000
   -5.72   -12.23   -43.69        -5.72   -12.23   -43.69     0.000
   -8.45     8.15    -6.38        -8.45     8.15    -6.38     0.000
    1.96   -11.31   -30.36         1.96   -11.31   -30.36     0.000
  -30.49    -6.18   -49.93       -30.49    -6.18   -49.93     0.000
  -12.37    24.03    33.04       -12.37    24.03    33.04     0.000
  -27.67   -18.97    -9.41       -27.67   -18.97    -9.41     0.000
  -26.91    11.98   -23.93       -26.91    11.98   -23.93     0.000
    0.00   -21.86   -29.47         0.00   -21.86   -29.47     0.000
    9.42    22.83    -7.10         9.42    22.83    -7.10     0.000
  -17.82     5.21    -8.73       -17.82     5.21    -8.73     0.000
   16.18    -6.08    45.37        16.18    -6.08    45.37     0.000
   -1.37   -23.19   -17.36        -1.37   -23.19   -17.36     0.000
   29.69    12.46    17.94        29.69    12.46    17.94     0.000
  -21.61   -23.69   -11.63       -21.61   -23.69   -11.63     0.000
  -32.14    -9.52    -9.85       -32.14    -9.52    -9.85     0.000
  -30.32    11.12   -26.42       -30.32    11.12   -26.42     0.000
   26.46     3.23    50.62        26.46     3.23    50.62     0.000
  -31.97   -24.79   -16.99       -31.97   -24.79   -16.99     0.000
   21.06     7.66   -27.26        21.06     7.66   -27.26     0.000
   31.57    16.83    10.58        31.57    16.83    10.58     0.000
   -1.47   -17.83    -5.21        -1.47   -17.83    -5.21     0.000
  -28.25    12.08   -25.63       -28.25    12.08   -25.63     0.000
   14.61    25.38    16.71        14.61    25.38    16.71     0.000
   22.56    -3.54    57.30        22.56    -3.54    57.30     0.000
  -19.30    11.87   -33.73       -19.30    11.87   -33.73     0.000
   16.36    19.16   -25.05        16.36    19.16   -25.05     0.000
   -4.83     0.14   -31.64        -4.83     0.14   -31.64     0.000
    8.20   -11.30   -20.27         8.20   -11.30   -20.27     0.000
  -23.45   -31.52   -24.28       -23.45   -31.52   -24.28     0.000
  -24.44    -0.43   -49.64       -24.44    -0.43   -49.64     0.000
  -20.30    21.36    24.40       -20.30    21.36    24.40     0.000
  -29.24    10.20   -20.04       -29.24    10.20   -20.04     0.000
   16.89    -6.35    56.14        16.89    -6.35    56.14     0.000
   29.47    11.90   -21.04        29.47    11.90   -21.04     0.000
    6.11   -17.79   -20.66         6.11   -17.79   -20.66     0.000
   26.05     5.01    52.81        26.05     5.01    52.81     0.000
   20.17    19.48   -22.46        20.17    19.48   -22.46     0.000
   -1.31   -18.09   -36.67        -1.31   -18.09   -36.67     0.000
   27.28    -9.98     1.38        27.28    -9.98     1.38     0.000
  -37.67     3.02   -37.00       -37.67     3.02   -37.00     0.000
