150 PA5-K-Unknown-Output.txt 6
  144.5756   12.6108  -46.4282  -59.5878  -51.9533  -48.0459
   30.78   -13.12   -24.05        30.78   -13.12   -24.05     0.000
   -3.98    -0.66    40.50        -3.98    -0.66    40.50     0.000
   -8.09    -2.69    11.99        -8.09    -2.69    11.99     0.000
  -12.32    -6.51     2.61       -12.32    -6.51     2.61     0.000
    6.09     7.34    71.69         6.09     7.34    71.69     0.000
   19.08    19.65    23.97        19.08    19.65    23.97     0.000
  -42.83   -11.38   -18.34       -42.83   -11.38   -18.34     0.000
   -6.55   -19.24    -6.61        -6.55   -19.24    -6.61     0.000
   12.27    -5.13    44.12        12.27    -5.13    44.12     0.000
   16.61    -0.98    47.53        16.61    -0.98    47.53     0.000
   -6.50   -11.85     0.31        -6.50   -11.85     0.31     0.000
  -18.30   -29.07   -39.54       -18.30   -29.07   -39.54     0.000
    3.46    14.88    -0.99         3.46    14.88    -0.99     0.000
   -1.43    -6.50    17.75        -1.43    -6.50    17.75     0.000
    1.51    17.22    47.14         1.51    17.22    47.14     0.000
  -31.00   -28.27   -14.82       -31.00   -28.27   -14.82     0.000
  -38.80     3.28   -24.88       -38.80     3.28   -24.88     0.000
  -10.57   -28.37   -39.06       -10.57   -28.37   -39.06     0.000
    0.56     2.41   -26.35         0.56     2.41   -26.35     0.000
   -9.50    25.76    23.38        -9.50    25.76    23.38     0.000
  -29.32   -32.21   -24.46       -29.32   -32.21   -24.46     0.000
  -32.55    -9.38    -5.43       -32.55    -9.38    -5.43     0.000
   25.77    12.76    17.94        25.77    12.76    17.94     0.000
   17.00    11.14    64.33        17.00    11.14    64.33     0.000
  -33.14     5.03   -36.26       -33.14     5.03   -36.26     0.000
   37.23    -0.71    -2.03        37.23    -0.71    -2.03     0.000
   -6.63     2.34    41.15        -6.63     2.34    41.15     0.000
   14.29    24.08   -15.09        14.29    24.08   -15.09     0.000
  -37.04     4.79   -23.13       -37.04     4.79   -23.13     0.000
   11.60    -4.96   -27.05        11.60    -4.96   -27.05     0.000
   22.21   -11.54    -7.79        22.21   -11.54    -7.79     0.000
   27.43    21.50     2.39        27.43    21.50     2.39     0.000
  -44.91    -5.90   -25.84       -44.91    -5.90   -25.84     0.000
   25.56    24.07    -6.61        25.56    24.07    -6.61     0.000
   33.78     7.98   -29.56        33.78     7.98   -29.56     0.000
   -7.43   -27.11   -13.25        -7.43   -27.11   -13.25     0.000
    0.28    22.67    24.06         0.28    22.67    24.06     0.000
  -38.97    -9.54    -9.47       -38.97    -9.54    -9.47     0.000
  -16.25    22.46    24.10       -16.25    22.46    24.10     0.000
  -21.66    -7.36   -48.16       -21.66    -7.36   -48.16     0.000
  -17.20   -21.54   -46.76       -17.20   -21.54   -46.76     0.000
   12.34    17.20   -13.66        12.34    17.20   -13.66     0.000
   34.13    -5.41   -27.59        34.13    -5.41   -27.59     0.000
  -40.12   -15.30   -13.72       -40.12   -15.30   -13.72     0.000
  -37.02   -22.98   -16.45       -37.02   -22.98   -16.45     0.000
   32.54     8.72   -31.30        32.54     8.72   -31.30     0.000
    7.25    17.20    -5.79         7.25    17.20    -5.79     0.000
  -26.33   -28.60   -38.88       -26.33   -28.60   -38.88     0.000
   36.81     7.95   -20.05        36.81     7.95   -20.05     0.000
   20.61    21.87    13.27        20.61    21.87    13.27     0.000
   28.19   -12.65   -18.04        28.19   -12.65   -18.04     0.000
   28.74    -8.46    -5.15        28.74    -8.46    -5.15     0.000
   -2.74    14.78    50.67        -2.74    14.78    50.67     0.000
   -2.10     1.88   -29.38        -2.10     1.88   -29.38     0.000
   32.70    18.37   -14.81        32.70    18.37   -14.81     0.000
  -23.07   -22.84   -45.28       -23.07   -22.84   -45.28     0.000
   31.32    -9.24   -29.83        31.32    -9.24   -29.83     0.000
   -1.87    -6.69    15.49        -1.87    -6.69    15.49     0.000
  -16.99    14.93   -24.43       -16.99    14.93   -24.43     0.000
   21.73   -10.10   -31.70        21.73   -10.10   -31.70     0.000
  -15.78    13.43    31.41       -15.78    13.43    31.41     0.000
  -27.71   -13.04   -47.19       -27.71   -13.04   -47.19     0.000
   35.81     2.16   -27.72        35.81     2.16   -27.72     0.000
  -43.54    -3.74   -24.76       -43.54    -3.74   -24.76     0.000
   -4.35    -0.22    49.45        -4.35    -0.22    49.45     0.000
    3.22   -20.44   -20.11         3.22   -20.44   -20.11     0.000
  -15.72   -16.68    -2.56       -15.72   -16.68    -2.56     0.000
  -36.21   -25.46   -30.87       -36.21   -25.46   -30.87     0.000
  -38.36   -11.20   -41.96       -38.36   -11.20   -41.96     0.000
  -23.31   -11.07   -48.65       -23.31   -11.07   -48.65     0.000
  -16.33     7.40   -13.22       -16.33     7.40   -13.22     0.000
    9.60     2.30    72.32         9.60     2.30    72.32     0.000
   32.85    12.99     5.87        32.85    12.99     5.87     0.000
    1.43    16.57    51.50         1.43    16.57    51.50     0.000
  -39.33   -14.00   -34.71       -39.33   -14.00   -34.71     0.000
   -8.78    -9.32     3.39        -8.78    -9.32     3.39     0.000
    8.58     4.46    72.24         8.58     4.46    72.24     0.000
