150 PA5-B-Debug-Output.txt 6
  -65.6662   81.8424  -39.6073   65.2478   92.2891  116.2386
   24.69    14.01    52.56        24.69    14.01    52.56     0.000
  -33.71     1.05   -16.88       -33.71     1.05   -16.88     0.000
  -10.52   -21.00   -43.46       -10.52   -21.00   -43.46     0.000
   21.26    21.92    48.67        21.26    21.92    48.67     0.000
   33.13    -6.19    -5.38        33.13    -6.19    -5.38     0.000
   18.64    17.37   -27.98        18.64    17.37   -27.98     0.000
  -31.47   -21.35   -43.83       -31.47   -21.35   -43.83     0.000
   -5.45     6.50   -19.83        -5.45     6.50   -19.83     0.000
   -9.31    13.75    40.80        -9.31    13.75    40.80     0.000
  -35.43   -20.94   -39.34       -35.43   -20.94   -39.34     0.000
   -5.77     6.02   -20.86        -5.77     6.02   -20.86     0.000
  -23.45     6.18   -41.34       -23.45     6.18   -41.34     0.000
    5.73    22.96    40.66         5.73    22.96    40.66     0.000
  -35.02    -3.97   -42.62       -35.02    -3.97   -42.62     0.000
   -7.39   -20.50   -43.67        -7.39   -20.50   -43.67     0.000
    8.98    14.85    59.65         8.98    14.85    59.65     0.000
   -5.47     2.73   -32.31        -5.47     2.73   -32.31     0.000
   36.25    -0.58    -7.72        36.25    -0.58    -7.72     0.000
    4.58    24.68    11.73         4.58    24.68    11.73     0.000
   25.38    11.33    44.03        25.38    11.33    44.03     0.000
  -11.82   -27.47   -35.45       -11.82   -27.47   -35.45     0.000
  -22.79   -14.93   -10.55       -22.79   -14.93   -10.55     0.000
  -17.35     4.37   -14.80       -17.35     4.37   -14.80     0.000
  -25.88    -3.89   -47.85       -25.88    -3.89   -47.85     0.000
  -11.26    14.35    32.54       -11.26    14.35    32.54     0.000
   10.20    -4.54    49.84        10.20    -4.54    49.84     0.000
   -1.70    -5.27    50.31        -1.70    -5.27    50.31     0.000
   18.09    -1.33   -19.71        18.09    -1.33   -19.71     0.000
    4.69    -1.74    60.78         4.69    -1.74    60.78     0.000
    8.60    24.16    12.74         8.60    24.16    12.74     0.000
