150 PA5-G-Unknown-Answer.txt 6
  -91.7407  -66.2557   46.0237  -46.5322   85.5702   16.1072
   13.27   -15.44    -7.16        13.27   -15.44    -7.16     0.000
   23.56    22.51    24.11        23.56    22.51    24.11     0.000
    4.18   -12.96     8.48         4.18   -12.96     8.48     0.000
  -44.14   -11.99   -35.48       -44.14   -11.99   -35.48     0.000
   -6.69    -2.62    33.05        -6.69    -2.62    33.05     0.000
   -7.25   -10.44   -43.84        -7.25   -10.44   -43.84     0.000
   30.51    -4.32   -18.81        30.51    -4.32   -18.81     0.000
   34.76    10.70   -24.43        34.76    10.70   -24.43     0.000
   34.52    -3.73     8.70        34.52    -3.73     8.70     0.000
  -23.74    10.45   -22.66       -23.74    10.45   -22.66     0.000
   12.69    22.27    44.68        12.69    22.27    44.68     0.000
   -7.53   -21.00    -9.96        -7.53   -21.00    -9.96     0.000
    6.52    20.36    47.32         6.52    20.36    47.32     0.000
   37.00    17.82    -7.67        37.00    17.82    -7.67     0.000
   26.32    25.49     8.56        26.32    25.49     8.56     0.000
  -14.36   -28.56   -35.07       -14.36   -28.56   -35.07     0.000
   -4.33   -10.64   -41.79        -4.33   -10.64   -41.79     0.000
  -12.98   -22.44    -9.66       -12.98   -22.44    -9.66     0.000
   29.32    -5.67   -13.68        29.32    -5.67   -13.68     0.000
   -7.13    11.21    10.45        -7.13    11.21    10.45     0.000
   18.10    -4.82    28.34        18.10    -4.82    28.34     0.000
   22.03   -15.05    -7.78        22.03   -15.05    -7.78     0.000
  -16.03    -1.38   -45.28       -16.03    -1.38   -45.28     0.000
    9.13    -7.42    39.66         9.13    -7.42    39.66     0.000
    6.94    21.34    37.61         6.94    21.34    37.61     0.000
    7.70   -13.75     6.57         7.70   -13.75     6.57     0.000
  -39.51    -0.48   -36.71       -39.51    -0.48   -36.71     0.000
   16.56   -14.93    -9.68        16.56   -14.93    -9.68     0.000
   24.07     8.27   -27.87        24.07     8.27   -27.87     0.000
    0.88    17.11    47.71         0.88    17.11    47.71     0.000
   24.30    16.31    31.54        24.30    16.31    31.54     0.000
   21.98    -9.41   -12.13        21.98    -9.41   -12.13     0.000
  -30.98   -10.02    -6.88       -30.98   -10.02    -6.88     0.000
   -5.78   -16.29    -2.12        -5.78   -16.29    -2.12     0.000
  -31.17    -5.34    -9.16       -31.17    -5.34    -9.16     0.000
   -9.03    15.69    31.89        -9.03    15.69    31.89     0.000
   29.28    -2.18    20.03        29.28    -2.18    20.03     0.000
  -35.90    -6.66    -7.81       -35.90    -6.66    -7.81     0.000
  -39.34     0.13   -36.36       -39.34     0.13   -36.36     0.000
   20.99    21.70    32.76        20.99    21.70    32.76     0.000
   -4.03   -17.34   -35.20        -4.03   -17.34   -35.20     0.000
   -6.76     0.13    35.45        -6.76     0.13    35.45     0.000
  -10.32   -20.09   -41.58       -10.32   -20.09   -41.58     0.000
   24.16    21.12   -28.93        24.16    21.12   -28.93     0.000
   23.13    26.95     6.20        23.13    26.95     6.20     0.000
  -22.29    11.07   -29.03       -22.29    11.07   -29.03     0.000
   -6.09    -3.84    41.45        -6.09    -3.84    41.45     0.000
   36.13    -1.71   -17.40        36.13    -1.71   -17.40     0.000
  -14.86   -26.10   -39.03       -14.86   -26.10   -39.03     0.000
   -2.21   -20.11   -14.83        -2.21   -20.11   -14.83     0.000
  -22.29   -19.76    -7.52       -22.29   -19.76    -7.52     0.000
   32.75    -1.49    18.32        32.75    -1.49    18.32     0.000
   -8.72   -24.87   -35.56        -8.72   -24.87   -35.56     0.000
  -16.45     2.56    -7.14       -16.45     2.56    -7.14     0.000
   -9.97    -5.47    14.44        -9.97    -5.47    14.44     0.000
  -32.55   -31.40   -25.50       -32.55   -31.40   -25.50     0.000
   16.49    26.89   -10.03        16.49    26.89   -10.03     0.000
  -15.26   -29.21   -18.52       -15.26   -29.21   -18.52     0.000
  -24.70     9.85   -18.68       -24.70     9.85   -18.68     0.000
   21.26    28.15    -4.55        21.26    28.15    -4.55     0.000
  -30.87   -31.97   -27.68       -30.87   -31.97   -27.68     0.000
   24.86   -10.11     6.71        24.86   -10.11     6.71     0.000
  -23.72   -31.81   -20.15       -23.72   -31.81   -20.15     0.000
  -21.74   -28.36   -39.13       -21.74   -28.36   -39.13     0.000
  -21.43    -3.41    -4.41       -21.43    -3.41    -4.41     0.000
   39.07     9.00   -12.04        39.07     9.00   -12.04     0.000
   22.40     2.38   -22.22        22.40     2.38   -22.22     0.000
   -6.47     5.61    48.25        -6.47     5.61    48.25     0.000
   -5.22   -21.57   -12.65        -5.22   -21.57   -12.65     0.000
  -29.15    -7.65   -48.37       -29.15    -7.65   -48.37     0.000
  -40.98   -13.20   -10.90       -40.98   -13.20   -10.90     0.000
   20.33    28.05    -7.16        20.33    28.05    -7.16     0.000
    0.00   -18.48   -20.63         0.00   -18.48   -20.63     0.000
   28.61    11.00   -30.14        28.61    11.00   -30.14     0.000
    1.67   -14.28     1.17         1.67   -14.28     1.17     0.000
  -39.68     0.31   -34.86       -39.68     0.31   -34.86     0.000
   -5.09    -9.29    24.13        -5.09    -9.29    24.13     0.000
  -22.16    -4.53   -47.60       -22.16    -4.53   -47.60     0.000
  -15.08     8.29   -27.63       -15.08     8.29   -27.63     0.000
   16.66    15.88   -13.19        16.66    15.88   -13.19     0.000
    6.02    18.28    -1.57         6.02    18.28    -1.57     0.000
   29.44    -5.88    -9.80        29.44    -5.88    -9.80     0.000
   18.15    22.67   -21.24        18.15    22.67   -21.24     0.000
   -8.65     7.52     6.37        -8.65     7.52     6.37     0.000
  -42.59   -14.52   -13.58       -42.59   -14.52   -13.58     0.000
    6.18   -10.29    23.07         6.18   -10.29    23.07     0.000
   -3.27    18.12    36.47        -3.27    18.12    36.47     0.000
  -26.80   -17.46    -7.37       -26.80   -17.46    -7.37     0.000
  -14.53     5.12   -37.95       -14.53     5.12   -37.95     0.000
   28.51    20.52    17.44        28.51    20.52    17.44     0.000
  -15.75   -29.83   -20.33       -15.75   -29.83   -20.33     0.000
   -1.31   -20.45   -26.89        -1.31   -20.45   -26.89     0.000
   -2.52     7.11   -21.22        -2.52     7.11   -21.22     0.000
    5.75   -13.61   -19.87         5.75   -13.61   -19.87     0.000
  -25.75   -18.66   -47.43       -25.75   -18.66   -47.43     0.000
   24.29     4.69   -24.76        24.29     4.69   -24.76     0.000
   41.30     3.60     3.87        41.30     3.60     3.87     0.000
  -23.69   -27.84   -12.11       -23.69   -27.84   -12.11     0.000
   29.57    24.29     8.90        29.57    24.29     8.90     0.000
  -43.14    -9.66   -13.04       -43.14    -9.66   -13.04     0.000
    2.16    17.52    51.34         2.16    17.52    51.34     0.000
    2.59   -15.94   -22.64         2.59   -15.94   -22.64     0.000
   -6.82     8.34    -9.19        -6.82     8.34    -9.19     0.000
    3.34   -14.41     0.50         3.34   -14.41     0.50     0.000
   21.40     9.18    49.89        21.40     9.18    49.89     0.000
  -12.52   -25.30   -38.68       -12.52   -25.30   -38.68     0.000
  -43.79   -14.41   -21.17       -43.79   -14.41   -21.17     0.000
  -19.79   -24.75    -9.56       -19.79   -24.75    -9.56     0.000
  -11.32    18.46    21.34       -11.32    18.46    21.34     0.000
   -5.55   -24.08   -31.47        -5.55   -24.08   -31.47     0.000
    6.48    16.68    -4.50         6.48    16.68    -4.50     0.000
  -24.48   -32.19   -32.50       -24.48   -32.19   -32.50     0.000
    1.27     2.90   -22.66         1.27     2.90   -22.66     0.000
   -6.93     0.32    33.28        -6.93     0.32    33.28     0.000
   18.49    19.61   -28.50        18.49    19.61   -28.50     0.000
   -4.11   -14.15   -36.88        -4.11   -14.15   -36.88     0.000
  -40.95   -20.02   -14.20       -40.95   -20.02   -14.20     0.000
   31.82    23.05     6.47        31.82    23.05     6.47     0.000
   -7.80     2.48    29.91        -7.80     2.48    29.91     0.000
  -11.00   -28.43   -28.16       -11.00   -28.43   -28.16     0.000
   -6.72     1.33    37.11        -6.72     1.33    37.11     0.000
   21.09    16.45    40.87        21.09    16.45    40.87     0.000
   -6.49     5.55    43.59        -6.49     5.55    43.59     0.000
  -29.65     9.01   -32.48       -29.65     9.01   -32.48     0.000
  -13.59     7.27   -15.91       -13.59     7.27   -15.91     0.000
   41.76     5.73     2.47        41.76     5.73     2.47     0.000
    6.40    -7.80    57.50         6.40    -7.80    57.50     0.000
  -33.73     5.79   -37.22       -33.73     5.79   -37.22     0.000
  -28.02     6.45   -38.95       -28.02     6.45   -38.95     0.000
   -6.00    15.33    11.72        -6.00    15.33    11.72     0.000
  -23.93   -20.15   -46.57       -23.93   -20.15   -46.57     0.000
   10.65    19.41    -7.67        10.65    19.41    -7.67     0.000
