400 PA5-H-Unknown-Answer.txt 6
 -120.0044   18.1098  -88.6708  -47.0896   52.9431  -75.5789
  -31.92    10.24   -16.19       -31.91    10.17   -16.20     0.066
   -1.46   -20.64    -7.67        -1.49   -20.50    -7.76     0.177
   20.01    -1.91   -22.37        20.00    -1.91   -22.39     0.027
    8.82   -18.60    -7.36         8.82   -18.60    -7.36     0.002
    6.16    21.05    44.23         6.14    21.09    44.23     0.039
   30.30    -6.44   -11.85        30.24    -6.41   -11.87     0.071
    2.56   -19.95    -8.14         2.57   -20.07    -8.06     0.141
   31.62    -4.99     3.45        31.63    -5.00     3.46     0.012
   25.50    24.20    10.88        25.47    24.15    10.86     0.064
   -6.21     6.86    37.03        -6.27     6.83    37.02     0.067
   18.59     1.14    43.34        18.54     1.16    43.34     0.053
   24.02    25.18    10.26        24.06    25.26    10.29     0.095
  -25.48    14.09   -20.52       -25.52    14.13   -20.49     0.059
   12.08   -18.63    -4.97        12.09   -18.60    -4.96     0.034
   27.28    24.62    -9.01        27.31    24.66    -9.01     0.057
   -6.05    19.37    26.78        -5.99    19.22    26.81     0.164
   19.34    11.89    52.56        19.31    11.89    52.55     0.028
    7.96   -17.73   -16.22         7.97   -17.73   -16.23     0.012
  -28.11     8.21   -42.98       -28.10     8.17   -42.95     0.053
    8.91   -17.61    -3.18         8.91   -17.65    -3.16     0.038
   10.78    22.82    34.24        10.77    22.91    34.26     0.085
  -16.12   -18.12   -50.55       -16.12   -18.08   -50.49     0.067
   24.14    21.50    18.55        24.13    21.49    18.54     0.017
   13.28    29.33     8.06        13.28    29.26     8.07     0.065
  -30.10     9.90   -14.22       -30.10     9.87   -14.23     0.032
   -5.66   -28.38   -23.34        -5.64   -28.46   -23.36     0.080
   21.82    -4.06    17.64        21.84    -4.08    17.64     0.025
  -40.07    -3.47   -29.62       -40.06    -3.47   -29.62     0.015
  -39.80   -22.13   -20.73       -39.90   -22.16   -20.74     0.104
  -25.22     3.85   -48.12       -25.22     3.84   -48.11     0.021
  -34.37     0.64   -46.97       -34.38     0.63   -46.95     0.029
  -32.63   -22.33    -9.86       -32.60   -22.31    -9.89     0.041
  -22.33    -8.74   -52.46       -22.33    -8.74   -52.47     0.007
   33.10    -3.60   -14.02        33.10    -3.61   -14.02     0.010
   38.96     4.54    -3.92        38.86     4.52    -3.94     0.108
   14.27    23.90   -28.99        14.27    23.89   -28.98     0.010
  -19.51     9.47   -42.07       -19.50     9.44   -42.05     0.038
  -31.74   -28.99   -36.37       -31.79   -29.12   -36.42     0.151
    4.28    -9.35    25.90         4.28    -9.37    25.91     0.020
  -12.39    14.23    44.82       -12.40    14.21    44.87     0.060
   20.52     2.48    35.98        20.44     2.52    35.96     0.092
   11.83   -17.97    -2.49        11.83   -17.87    -2.52     0.102
   31.18    20.01   -14.18        31.23    20.06   -14.21     0.076
  -24.77   -22.71    -7.22       -24.77   -22.69    -7.27     0.054
  -29.42   -31.32   -34.28       -29.42   -31.32   -34.28     0.005
   16.83    12.29    54.90        16.86    12.30    54.95     0.061
   26.47   -11.34    -5.41        26.51   -11.40    -5.42     0.073
   33.84    18.09   -11.61        33.74    18.01   -11.60     0.129
   20.01    15.38    41.30        19.93    15.35    41.28     0.091
   17.60    -6.55    21.26        17.56    -6.49    21.24     0.076
   11.75     7.27    56.13        11.74     7.29    56.07     0.060
   21.52     8.59    36.64        21.56     8.59    36.65     0.039
  -40.52   -13.78   -38.86       -40.40   -13.75   -38.85     0.124
    8.26   -10.79    22.53         8.25   -10.76    22.51     0.030
   35.54    11.76   -14.09        35.69    11.75   -14.15     0.163
   38.35     5.82    -5.84        38.47     5.84    -5.85     0.125
   -6.73     8.33    42.56        -6.76     8.26    42.60     0.086
  -15.15    17.15    29.89       -15.27    17.23    29.81     0.161
  -39.00     6.92   -27.47       -38.95     6.89   -27.46     0.059
  -36.88     5.38   -36.67       -36.98     5.43   -36.72     0.120
   10.93   -18.02    -3.07        10.93   -17.99    -3.08     0.038
    4.26   -12.50     8.97         4.20   -12.56     8.99     0.084
  -29.58    11.84   -20.74       -29.56    11.82   -20.75     0.025
   -9.77   -24.80   -42.56        -9.80   -24.78   -42.53     0.040
    1.65    21.13    20.25         1.62    21.20    20.26     0.072
   29.34    -4.06   -23.99        29.34    -4.06   -23.96     0.024
   24.73    23.44    14.07        24.70    23.42    14.05     0.039
  -12.82    14.99    43.79       -12.85    15.01    43.81     0.042
    2.72   -24.39   -16.37         2.71   -24.39   -16.37     0.004
   -5.44     3.77    30.68        -5.53     3.70    30.71     0.116
  -18.26     6.62   -10.56       -18.24     6.58   -10.58     0.053
  -37.30   -22.90   -14.93       -37.29   -22.90   -14.93     0.016
   11.93     1.73    55.51        11.93     1.73    55.50     0.007
   11.95     8.41    55.95        11.95     8.41    55.95     0.003
  -10.11     7.66    -1.93       -10.07     7.59    -1.93     0.078
   35.83    12.78   -13.79        35.82    12.78   -13.79     0.010
    1.69    19.76    48.26         1.77    19.59    48.23     0.192
  -20.16     9.18   -14.15       -20.16     9.18   -14.15     0.004
  -22.52   -27.23   -10.99       -22.53   -27.25   -10.96     0.038
  -24.14   -32.84   -29.17       -24.16   -32.96   -29.17     0.123
  -14.39   -14.12   -51.06       -14.38   -14.12   -51.07     0.005
   21.26   -16.87     1.30        21.25   -16.87     1.29     0.015
   -9.29   -28.62   -33.60        -9.16   -28.75   -33.65     0.193
   31.53     3.99    12.12        31.54     3.99    12.14     0.022
   -0.01    10.47    -6.12        -0.02    10.53    -6.13     0.065
   -0.09    -3.52   -27.72        -0.08    -3.52   -27.74     0.021
  -38.89   -23.88   -18.57       -38.84   -23.84   -18.58     0.068
   28.51    -7.89   -15.29        28.50    -7.87   -15.28     0.020
   21.19    -1.81    25.08        21.20    -1.81    25.08     0.006
  -28.67   -32.09   -22.31       -28.66   -32.07   -22.32     0.023
  -35.99     4.68   -41.51       -36.06     4.72   -41.53     0.091
   24.39     3.67    23.39        24.34     3.68    23.37     0.058
   -3.28   -26.61   -17.25        -3.25   -26.64   -17.23     0.045
   -6.22    -7.73     7.46        -6.17    -7.67     7.42     0.091
  -15.52   -22.67   -47.24       -15.51   -22.69   -47.26     0.030
  -11.42     4.50     4.86       -11.46     4.52     4.87     0.044
  -25.04   -28.61   -40.81       -25.04   -28.69   -40.85     0.087
   10.25   -18.67    -7.82        10.25   -18.69    -7.82     0.020
   18.24    -1.85    36.14        18.12    -1.76    36.13     0.150
   33.03     4.45   -22.12        33.06     4.45   -22.14     0.034
   26.83    23.16    10.83        26.83    23.17    10.83     0.006
    5.33   -15.17    -0.08         5.32   -15.20    -0.07     0.035
   -6.88    11.56    47.46        -6.86    11.56    47.45     0.026
  -33.19    -3.24    -8.12       -33.17    -3.25    -8.15     0.038
   24.95    18.32    19.07        25.06    18.36    19.13     0.132
   12.17    27.10    -2.39        12.04    27.25    -2.42     0.201
   -4.90    15.38    49.19        -4.92    15.41    49.21     0.044
  -22.11     6.87   -45.28       -22.10     6.96   -45.35     0.121
  -14.10   -29.70   -18.46       -14.11   -29.69   -18.46     0.017
    6.26    21.86    34.23         6.33    21.71    34.22     0.167
   14.45    15.26   -22.09        14.47    15.27   -22.10     0.021
   18.64     1.23    42.11        18.75     1.19    42.13     0.128
   25.96     0.87    17.34        25.82     0.94    17.25     0.178
    9.94   -17.58   -14.11         9.89   -17.50   -14.07     0.095
  -38.38    -2.62   -38.33       -38.50    -2.61   -38.36     0.123
    6.10    11.59    -6.91         6.11    11.56    -6.91     0.026
  -11.23    -9.24     1.08       -11.26    -9.28     1.13     0.073
   -4.30    15.03    55.39        -4.30    15.03    55.39     0.007
   -9.58   -28.57   -35.01        -9.56   -28.59   -35.02     0.027
    9.54    -8.47   -20.99         9.50    -8.41   -20.90     0.115
   -9.70    13.18    20.87        -9.77    13.20    20.84     0.082
  -18.57   -21.38    -7.00       -18.56   -21.40    -6.94     0.065
  -38.50   -25.72   -23.09       -38.42   -25.68   -23.08     0.096
   -0.15     2.80    57.62        -0.15     2.80    57.58     0.034
  -36.63   -26.99   -31.55       -36.54   -26.93   -31.54     0.106
    9.63   -18.53    -7.69         9.62   -18.63    -7.69     0.100
  -33.54   -22.81   -11.44       -33.52   -22.80   -11.45     0.017
    9.12    -7.79   -21.56         9.11    -7.77   -21.54     0.032
   -0.02   -25.80   -24.78         0.01   -25.84   -24.78     0.051
  -19.82    13.99   -18.83       -19.74    14.06   -18.73     0.143
   -8.09     9.59   -11.34        -8.07     9.72   -11.34     0.132
   30.19    19.46     5.89        30.24    19.49     5.90     0.052
  -26.75     0.84   -49.83       -26.71     0.79   -49.75     0.107
  -16.62    13.61    31.27       -16.53    13.66    31.31     0.104
   18.44    28.17    11.78        18.45    28.19    11.79     0.028
   25.79    23.78    11.18        25.80    23.80    11.20     0.035
  -10.30     7.68    17.62       -10.26     7.68    17.62     0.034
   31.48    16.82   -18.92        31.37    16.75   -18.83     0.156
   -7.58    17.09    22.84        -7.60    17.12    22.83     0.036
  -19.42   -10.30    -4.92       -19.42   -10.30    -4.94     0.014
   14.88    -7.78    24.05        14.88    -7.79    24.05     0.005
    8.36    26.38     9.65         8.33    26.42     9.65     0.046
   36.48    13.00    -8.66        36.55    13.04    -8.67     0.071
